t,i1j1,i2j1,i3j1,i4j1,i5j1,i6j1,i7j1,i8j1,i9j1,i10j1,i1j2,i2j2,i3j2,i4j2,i5j2,i6j2,i7j2,i8j2,i9j2,i10j2,i1j3,i2j3,i3j3,i4j3,i5j3,i6j3,i7j3,i8j3,i9j3,i10j3,i1j4,i2j4,i3j4,i4j4,i5j4,i6j4,i7j4,i8j4,i9j4,i10j4,i1j5,i2j5,i3j5,i4j5,i5j5,i6j5,i7j5,i8j5,i9j5,i10j5,i1j6,i2j6,i3j6,i4j6,i5j6,i6j6,i7j6,i8j6,i9j6,i10j6,i1j7,i2j7,i3j7,i4j7,i5j7,i6j7,i7j7,i8j7,i9j7,i10j7,i1j8,i2j8,i3j8,i4j8,i5j8,i6j8,i7j8,i8j8,i9j8,i10j8,i1j9,i2j9,i3j9,i4j9,i5j9,i6j9,i7j9,i8j9,i9j9,i10j9,i1j10,i2j10,i3j10,i4j10,i5j10,i6j10,i7j10,i8j10,i9j10,i10j10,i1j11,i2j11,i3j11,i4j11,i5j11,i6j11,i7j11,i8j11,i9j11,i10j11,i1j12,i2j12,i3j12,i4j12,i5j12,i6j12,i7j12,i8j12,i9j12,i10j12,i1j13,i2j13,i3j13,i4j13,i5j13,i6j13,i7j13,i8j13,i9j13,i10j13,i1j14,i2j14,i3j14,i4j14,i5j14,i6j14,i7j14,i8j14,i9j14,i10j14,i1j15,i2j15,i3j15,i4j15,i5j15,i6j15,i7j15,i8j15,i9j15,i10j15
2019-01-01T12:00:00.0,14.164999,14.42,14.028,14.789,15.094999,15.83,15.695999,14.94,14.936,15.312,14.014,14.452,13.912,14.443,14.923,15.871,15.408,14.91,15.047,15.459999,13.924,14.490999,13.916,14.231,14.924,15.938999,15.165,14.909,15.171,15.607,14.077,14.646,14.125,14.447,15.254,15.931,15.007999,14.951,15.296,15.725,14.183,14.775999,14.372,14.705999,15.493,15.701,14.924,15.016,15.408,15.785999,14.254,14.886999,14.646,14.997,15.663,15.302,14.896999,15.098,15.51,15.805,14.285,14.959,14.79,15.174999,15.695999,15.113,14.865,15.152,15.618,15.809999,14.318,15.045,14.927,15.301,15.715,14.985,14.874,15.214,15.683,15.808,14.354,15.16,15.058,15.34,15.718,14.952999,14.962,15.292999,15.667,15.795,14.045,15.166,15.285999,15.437,15.754,14.945,15.013,15.356,15.7,15.7630005,13.649,15.125999,15.542999,15.570999,15.804,14.958,15.039,15.408,15.74,15.718,13.424999,15.034,15.775,15.806,15.864,15.058,14.995,15.426,15.726,15.642,13.183,14.805,15.708,15.877,15.903,15.160999,14.908,15.372,15.648,15.566999,12.924,14.461,15.386999,15.811,15.924,15.268,14.787,15.256,15.514999,15.490999,12.6119995,13.868,14.808,15.52,15.896999,15.289,14.705999,15.136999,15.400999,15.423
2019-01-02T12:00:00.0,13.582,14.12,15.547,15.903,16.022999,16.164999,16.379,15.339,15.466,15.73,13.49,14.03,15.187,15.872999,16.035,16.212,16.035,15.371,15.502,15.816999,13.467999,13.958,14.68,15.69,15.93,16.23,15.652,15.4279995,15.535999,15.872999,13.698,13.945999,14.164,15.115999,15.467,16.114,15.436,15.42,15.629999,16.015,13.868,14.075,13.893,14.721,15.211,15.992,15.349,15.389,15.732,16.048,13.992,14.312,13.809999,14.464,15.1119995,15.865,15.36,15.343,15.841,16.0,13.982,14.422,13.95,14.48,15.256,15.688999,15.142,15.426,15.844,15.871,14.034,14.532999,14.17,14.593,15.33,15.455999,14.999,15.452999,15.843,15.773,14.208,14.653999,14.518,14.865,15.257,15.122999,15.011999,15.367,15.844999,15.740999,14.167999,14.728,14.563,14.988,15.285999,14.961,14.98,15.384,15.7369995,15.747,14.084999,14.796,14.54,15.041,15.336,14.851999,14.9279995,15.421,15.618,15.739,14.166,14.92,14.724,14.98,15.298,14.723,14.844999,15.375,15.653,15.565,13.966,14.951,14.971,15.018999,15.285,14.749,14.825,15.301,15.636,15.448,13.53,14.903999,15.271999,15.143,15.292999,14.908,14.858,15.202999,15.575,15.379,12.798,14.804,15.391,15.485,15.462999,15.104,14.674999,15.208,15.389999,15.417
2019-01-03T12:00:00.0,13.592999,14.511,14.577,15.152,15.354,15.566,15.782,14.929,15.016,15.171,13.500999,14.535999,14.9279995,15.198,15.412,15.65,15.596,14.910999,15.118,15.238,13.424999,14.441,15.330999,15.351,15.535,15.749,15.391,14.879999,15.198,15.296,13.472,14.159,15.691999,15.592,15.729,15.767,15.278999,14.969,15.311,15.372999,13.5199995,13.886,15.686,15.775,15.85,15.733,15.191999,15.000999,15.34,15.434999,13.568,13.621,15.400999,15.914,15.915,15.657,15.124,14.989,15.305,15.486,13.723,13.738,14.722,15.493,15.511999,15.587999,15.056,14.962999,15.393,15.475,13.865,13.8949995,14.188999,15.058,15.122999,15.503,14.986,14.969999,15.457,15.431,13.978,14.097,13.9539995,14.639999,14.794,15.3880005,14.909,15.035999,15.468,15.332,13.983,14.263,13.959,14.476,14.719999,15.256,14.874,15.056,15.496,15.349,13.9869995,14.407,14.061,14.429,14.76,15.107,14.851,15.073,15.527,15.382999,14.202999,14.4939995,14.266,14.575,14.968,14.893,14.82,15.167999,15.539,15.292999,14.115999,14.617,14.426,14.643999,15.075,14.781,14.805,15.156,15.528,15.239,13.774,14.771999,14.548,14.646999,15.094999,14.757999,14.8029995,15.055,15.496,15.215,13.026999,14.427,14.653,14.684,15.044,14.778999,14.777,15.149,15.35,15.284
2019-01-04T12:00:00.0,13.406,13.537,14.896999,15.3619995,15.445,15.452999,15.288,14.740999,14.917,14.858999,13.372999,13.643,14.664,15.285999,15.381,15.459999,15.232,14.8029995,15.014999,14.976999,13.32,13.778999,14.412,15.146,15.285,15.445999,15.166,14.854,15.105,15.083,13.34,13.941999,14.298,14.931999,15.106,15.371,15.146,14.847,15.184,15.167999,13.289,14.035,14.309,14.854,15.027,15.382999,15.111,14.849,15.231,15.202,13.184999,14.073999,14.416,14.878,15.025999,15.462,15.065,14.857,15.254,15.197,13.3029995,13.709,14.694,15.017,15.298,15.507999,15.076,14.914,15.218,15.224,13.429,13.4539995,14.812,15.177,15.537,15.535999,15.08,14.933,15.209999,15.214,13.552,13.431,14.625999,15.368,15.695,15.535999,15.066999,14.878,15.257999,15.135,13.601999,13.614,14.296,15.318,15.534,15.429,15.097,14.877,15.287,15.091,13.657999,13.847,13.98,15.135,15.261999,15.282,15.106,14.905,15.304,15.068,13.891,13.958,14.038,14.639999,14.969,15.111,14.906,14.990999,15.282,15.101,14.01,14.125999,14.143999,14.385,14.794,14.997999,14.8029995,15.025,15.343,15.143999,14.032,14.343,14.292,14.333,14.719,14.934999,14.782999,15.016,15.472,15.195999,13.816999,14.399,14.424,14.462999,14.719,14.847,14.753,15.035,15.393,15.306
2019-01-05T12:00:00.0,13.827,14.745,15.117,15.194,15.483999,15.469,14.98,14.826,14.879,14.409,13.552,14.815,15.146999,15.29,15.452999,15.386,15.044,14.834999,15.052,14.615999,13.245,14.784,15.153,15.413,15.431,15.291,15.104,14.8289995,15.215,14.844999,13.276999,14.337999,15.228,15.399,15.528,15.351999,14.973,14.974,15.113,15.077,13.2439995,13.9869995,15.158,15.357,15.489,15.306999,14.954,14.972,15.069,15.108,13.164,13.709999,14.98,15.294,15.344999,15.18,15.02,14.858,15.066999,14.986,13.247999,13.716,14.67,15.098,15.079,15.136,14.948,14.836,15.056,14.919,13.264,13.709999,14.399,14.832,14.87,15.115999,14.9,14.83,15.042,14.833,13.143999,13.664,14.209,14.448,14.775,15.132999,14.908,14.846,15.021999,14.709999,13.157999,13.516,14.198999,14.389999,14.788,15.171,14.916,14.82,15.006,14.573,13.212,13.35,14.239,14.473999,14.857,15.217,14.929,14.787,14.989,14.452,13.23,13.282,14.212999,14.745,15.04,15.274,14.971,14.797,14.951,14.459999,13.302,13.351999,14.105,14.863,15.145,15.261,14.933,14.802,14.973,14.534,13.417999,13.537,13.929,14.851999,15.184,15.19,14.826,14.801,15.047,14.662,13.469999,13.802,13.848999,14.676,15.0,15.153999,14.752,14.839,15.041,14.813999
2019-01-06T12:00:00.0,14.504,14.459,15.363,15.464,15.502,15.118,14.778999,14.788,14.896,14.364,14.322,14.556,15.312,15.448,15.518,15.132999,14.823999,14.969,14.962,14.591,14.045,14.638,15.208,15.437,15.514,15.142,14.875999,15.135,14.9939995,14.833,14.1,14.739,15.047,15.469999,15.365999,15.136999,14.9869995,15.108999,15.065,14.858,14.013,14.907,15.055,15.399,15.37,15.129,15.018,15.011,15.115,14.841,13.819,15.125,15.191999,15.249,15.489,15.12,14.989,14.858,15.146999,14.792,13.518999,15.042999,15.122999,15.3880005,15.365,15.108999,14.976,14.914,14.973,14.7369995,13.318,14.885,15.108,15.458,15.289,15.127,14.926,14.9,14.818,14.584999,13.305,14.608999,15.205,15.379999,15.318,15.195999,14.8029995,14.740999,14.714,14.254999,13.233999,14.292,15.018,15.295,15.278999,15.068,14.841,14.739,14.673,14.146999,13.139999,13.992,14.750999,15.183,15.184999,14.910999,14.902,14.761,14.621,14.084999,13.021,13.875999,14.563999,14.910999,14.896999,14.981,14.782999,14.608,14.377,13.858,13.056999,13.683,14.381,14.627,14.681,14.981,14.722,14.584,14.327,13.78,13.225,13.424999,14.2,14.334999,14.524,14.923,14.711,14.667999,14.443,13.827,13.191,13.372999,14.23,14.462999,14.627,15.032,14.771,14.672,14.462,14.042999
2019-01-07T12:00:00.0,13.483,14.113,15.146,14.974,14.841999,14.548,14.539,14.458,14.457,14.291,13.5529995,14.134,15.164,14.964,14.9,14.605,14.549999,14.656,14.502,14.337999,13.562,14.138,15.181,14.971,14.954,14.67,14.556,14.851999,14.563,14.4279995,13.554,14.1189995,15.195999,15.134,14.914,14.834,14.669,14.847,14.766,14.572,13.563,14.070999,15.162,15.145,14.988,14.868,14.723,14.775,14.844,14.598,13.584999,14.0,15.091,15.041,15.148,14.8029995,14.733,14.653,14.826,14.537,13.51,14.121,14.844,15.101999,15.128,14.820999,14.716999,14.634,14.7369995,14.443,13.403999,14.209,14.687,15.087,15.099,14.864,14.701,14.605,14.625999,14.284,13.250999,14.225,14.708,14.92,15.068,14.945999,14.688999,14.548,14.482,14.007999,12.997999,14.169,14.667999,14.896999,15.049,14.945,14.628,14.511999,14.332,13.955999,12.740999,14.089,14.618,14.915,15.042,14.921,14.569,14.48,14.174,13.98,12.656,13.997999,14.635,14.896999,15.084,14.924,14.624,14.4279995,13.978,14.006,12.6119995,13.785,14.573,14.938999,15.054,14.900999,14.587999,14.381,13.903,13.896,12.601999,13.467999,14.445999,15.034,14.965,14.856,14.475,14.339,13.931,13.672,12.563,13.247,14.229,14.837,14.8689995,14.631,14.517,14.341,13.907,13.666
2019-01-08T12:00:00.0,13.028,13.871,14.538,14.493,14.452999,14.413,14.523,14.641,14.601999,14.976,12.982,13.888,14.525,14.4869995,14.490999,14.5,14.601999,14.735,14.657999,14.833,12.893,13.886999,14.511999,14.492,14.54,14.583,14.667999,14.826,14.742,14.698999,12.884,13.877,14.504,14.507,14.594,14.638,14.68,14.848,14.867,14.742,12.862999,13.882,14.500999,14.535999,14.650999,14.686,14.679,14.837,14.915,14.789,12.832,13.896999,14.503,14.577,14.709,14.728,14.667999,14.799999,14.906,14.837999,12.82,13.813,14.525999,14.645,14.761,14.768999,14.676,14.750999,14.809,14.693,12.801,13.719999,14.521,14.7,14.799999,14.805,14.684999,14.701,14.693,14.534,12.768999,13.6189995,14.461,14.729,14.816999,14.830999,14.695999,14.650999,14.552,14.363,12.697,13.566999,14.378,14.73,14.82,14.843,14.69,14.586,14.392,14.278,12.612999,13.539,14.281,14.7039995,14.811,14.848,14.679,14.511999,14.235,14.24,12.549,13.559999,14.15,14.580999,14.767,14.844999,14.667,14.424,14.125999,14.309999,12.410999,13.556999,14.054,14.476999,14.739,14.837,14.649,14.351999,14.038,14.322,12.209,13.534,13.989,14.388,14.726,14.826,14.624,14.292,13.966,14.282999,11.969999,13.333,13.92,14.382999,14.732,14.801,14.586,14.292,13.952999,14.049
2019-01-09T12:00:00.0,12.871,14.084999,14.32,14.365999,14.367,14.4279995,14.547,14.622999,14.847,15.507,12.912,14.083,14.282,14.348,14.4,14.476,14.624,14.646999,14.749,15.372999,12.879999,14.028999,14.247999,14.332,14.43,14.516,14.686,14.683,14.664,15.165,12.7439995,13.851,14.186,14.304,14.492,14.532,14.615,14.688999,14.683,14.941999,12.634,13.683,14.124,14.268,14.503,14.548,14.563,14.672,14.676,14.775999,12.545,13.525,14.062,14.226999,14.475,14.563,14.525999,14.636,14.649,14.653999,12.423,13.421,14.027,14.231,14.492,14.591999,14.525,14.541,14.499,14.521,12.28,13.309,13.990999,14.232,14.506,14.615,14.53,14.459,14.344,14.377,12.098,13.177,13.948,14.228,14.507,14.629,14.544,14.407999,14.191999,14.2109995,11.936999,13.013,13.877,14.223999,14.525999,14.632,14.545,14.341,14.069,14.138,11.785,12.848,13.78,14.205999,14.531,14.625999,14.541,14.267,13.969999,14.117,11.643,12.746,13.589,14.1119995,14.424,14.601999,14.528999,14.183,13.95,14.232,11.592,12.691999,13.429,13.993,14.337999,14.604,14.506,14.122999,13.905,14.337999,11.618,12.68,13.292999,13.853,14.268,14.629,14.473999,14.084,13.84,14.434999,11.988999,12.3949995,13.128,13.802,14.301,14.591,14.455999,14.114,13.8029995,14.292999
2019-01-10T12:00:00.0,12.938999,14.124,14.83,14.893,14.788,14.891,14.87,14.872999,14.747,15.094,13.002,14.132,14.79,14.87,14.874,14.919,14.908,14.886,14.834,15.069,13.094,14.122,14.764999,14.847,14.961,14.948999,14.941999,14.875,14.926,15.014999,13.254999,14.098999,14.701,14.816,15.021,14.981,14.947,14.899,14.825,14.865999,13.264999,13.9939995,14.641,14.745,15.034,15.011999,14.986,14.908,14.778999,14.757,13.16,13.827,14.584999,14.645,15.011999,15.042,15.049,14.907,14.775999,14.679,12.98,13.674999,14.5,14.586,14.884,15.072,15.094,14.917999,14.719999,14.672,12.771999,13.507,14.371,14.539,14.802,15.098,15.125,14.915,14.667999,14.660999,12.521999,13.306999,14.162,14.509,14.815,15.114,15.132999,14.886,14.631,14.636999,12.396999,13.080999,14.114,14.485,14.818,15.099,15.096,14.826,14.642,14.781,12.334,12.867,14.098999,14.457,14.806999,15.066,15.039,14.756,14.697,14.969,12.391,12.782999,13.966,14.391,14.731,14.9869995,14.959,14.68,14.917,15.087,12.44,12.789,13.815,14.304,14.631,14.909,14.865999,14.601999,14.955,15.208,12.483999,12.872,13.65,14.198999,14.509,14.832,14.761999,14.521999,14.841,15.330999,12.539,12.972,13.598,14.239,14.457,14.747,14.684,14.568,14.606,15.298
2019-01-11T12:00:00.0,14.0529995,14.796,15.363,14.886999,14.719999,14.746,14.75,14.584,14.618,14.635,13.566999,14.59,15.246,14.948,14.796,14.833,14.801,14.586,14.614,14.764,13.061,14.327,15.097,14.988,14.882,14.917999,14.833,14.566999,14.601999,14.87,13.1,14.277,14.959,14.892,14.905,14.861,14.805,14.596,14.563999,14.830999,13.124,14.201,14.771999,14.865999,14.833,14.832,14.825,14.615,14.528999,14.774,13.136,14.104,14.548,14.893999,14.688999,14.823999,14.881,14.628,14.495,14.7039995,13.146999,13.990999,14.3689995,14.67,14.613,14.830999,14.899,14.634,14.472,14.655,13.07,13.863,14.207,14.504999,14.582,14.849,14.906,14.622999,14.452,14.614,12.830999,13.709999,14.072,14.465,14.629,14.885,14.896999,14.583,14.434,14.59,12.6449995,13.45,13.996,14.402,14.667999,14.952,14.861,14.53,14.455,14.618,12.474999,13.164,13.926,14.344,14.7,15.017,14.812,14.49,14.513,14.6779995,12.292999,12.941999,13.778,14.3689995,14.698,15.013,14.750999,14.548,14.705999,14.823,12.221,12.827999,13.718,14.363,14.705,14.975,14.702,14.665,14.888,14.972,12.242,12.805,13.730999,14.334,14.721,14.908,14.666,14.832,15.061,15.122999,12.357,12.9609995,13.714,14.327,14.624,14.839,14.583,14.78,15.226999,15.222
2019-01-12T12:00:00.0,14.531,14.712999,15.222,14.857,14.888,14.91,14.792,14.815,14.952,14.83,14.209999,14.818,15.247999,14.954,14.926,14.948999,14.854,14.841999,14.972,14.886,13.733,14.865999,15.261,15.049999,14.961,14.996,14.938999,14.865,14.979,14.948,13.384,14.740999,15.229,15.087,14.995,15.011,14.962999,14.84,15.011999,15.04,13.2,14.544,15.125999,15.091,15.007,15.021,14.997999,14.827999,15.011999,15.1,13.143999,14.295,14.969,15.069,15.002,15.025999,15.042999,14.823999,14.989,15.135,13.246,14.155,14.826,15.021999,14.964,15.023,15.07,14.827,14.937,15.155,13.334999,14.0789995,14.711,14.971,14.916,15.021,15.089,14.823,14.892,15.155,13.388,14.111,14.646,14.914,14.851,15.025999,15.096,14.806,14.863,15.118,13.344,14.084999,14.570999,14.812,14.789,15.054,15.073,14.789,14.864,15.115,13.246,14.017,14.482,14.701,14.745,15.091999,15.042,14.778999,14.886999,15.136,13.016,13.806999,14.327,14.629999,14.805,15.145,15.01,14.806999,14.978,15.226,12.823,13.562,14.188999,14.594,14.885,15.18,15.013,14.891,15.094,15.28,12.662,13.288,14.063999,14.589,14.983,15.201,15.045,15.021999,15.231,15.3029995,12.73,13.37,14.118,14.649,15.02,15.201,15.082,15.194,15.355,15.333
2019-01-13T12:00:00.0,14.4539995,14.547,15.131,14.844999,14.962999,14.945999,14.881,14.952,14.982,14.899,14.41,14.584,15.128,14.8619995,14.938999,14.923,14.871,14.886,14.957,14.854,14.28,14.614,15.1189995,14.891,14.923,14.889,14.851999,14.826,14.938,14.8029995,14.139999,14.646,15.068,14.964,14.881,14.841999,14.767,14.774,14.907,14.781,13.823999,14.635,15.04,14.982,14.848,14.802,14.731,14.709,14.902,14.79,13.375,14.593,15.03,14.958,14.820999,14.768999,14.733,14.634,14.916,14.820999,13.311,14.358,14.847,14.853,14.773,14.756,14.709999,14.577999,14.837,14.910999,13.299999,14.162,14.669,14.764999,14.731,14.74,14.691,14.525,14.761999,14.934,13.358,14.049999,14.514,14.715,14.7,14.721,14.681,14.48,14.701,14.833,13.44,14.087,14.499,14.712999,14.666,14.726,14.659,14.4539995,14.67,14.871,13.509,14.1779995,14.532,14.722,14.634,14.743,14.634,14.441999,14.66,14.936,13.4539995,14.282,14.5789995,14.695999,14.622,14.78,14.608999,14.475,14.716999,14.881,13.316,14.219,14.542999,14.657999,14.643999,14.82,14.607,14.528999,14.764999,14.889,13.107,14.014999,14.436,14.61,14.693,14.8619995,14.622999,14.601999,14.804,14.95,12.955,13.841999,14.344999,14.615,14.771999,14.886999,14.691,14.681999,14.872,14.823
2019-01-14T12:00:00.0,14.11,14.438,15.153999,14.746,14.92,14.855,14.691999,14.889,14.79,14.914,14.007,14.478,15.055,14.815,14.9279995,14.781,14.718,14.775,14.799,14.745,13.865999,14.51,14.952999,14.903,14.902,14.68,14.74,14.673,14.825,14.561,14.063,14.443,14.999,14.913,14.761999,14.73,14.594999,14.740999,14.726999,14.528999,14.142,14.438999,14.934,14.874,14.747999,14.736,14.566,14.666,14.7369995,14.603,14.129999,14.483999,14.785,14.799999,14.830999,14.707,14.625999,14.481,14.830999,14.756,13.806999,14.4869995,14.882999,14.909,14.822,14.59,14.517,14.516,14.702,14.679,13.518,14.406,14.87,14.913,14.750999,14.539,14.431999,14.486,14.627,14.653,13.316999,14.172,14.634,14.712,14.573,14.615,14.402,14.319,14.667,14.736,13.407,13.999,14.5,14.636999,14.570999,14.546,14.459,14.330999,14.577999,14.671,13.591999,13.881,14.416,14.596,14.603,14.462,14.514,14.379999,14.481,14.584999,13.753,13.959,14.421,14.507999,14.4869995,14.573,14.393,14.292,14.594,14.672,13.851999,14.139,14.513,14.495,14.444,14.584999,14.389,14.323,14.605,14.653999,13.899,14.405,14.6779995,14.545,14.462999,14.514,14.483999,14.4539995,14.53,14.547,13.653999,14.403,14.59,14.636999,14.568,14.641,14.417,14.379,14.586,14.476999
2019-01-15T12:00:00.0,14.197,14.587999,14.971,14.782999,14.886999,14.8029995,14.752,14.809999,14.825,14.827999,14.042,14.687,14.99,14.811,14.888,14.771,14.705999,14.771,14.809999,14.746,13.773,14.747999,15.0,14.847,14.877,14.7369995,14.664,14.736,14.806999,14.681,13.618,14.725,15.016,14.884,14.858999,14.726999,14.653999,14.7,14.808,14.672,13.546,14.643999,15.02,14.903,14.854,14.726,14.632,14.652,14.805,14.7039995,13.535999,14.518999,15.016,14.908,14.858999,14.73,14.601,14.596,14.799999,14.767,13.646999,14.35,14.865,14.885,14.885,14.733,14.599,14.54,14.754999,14.798,13.698,14.23,14.733999,14.868,14.905,14.736,14.598,14.488,14.702,14.809,13.628,14.201,14.649,14.864,14.910999,14.742,14.594999,14.445,14.636,14.787,13.452999,14.134,14.625999,14.889,14.888,14.712,14.583,14.417999,14.594,14.761,13.256,14.039,14.607,14.896999,14.839,14.667,14.566,14.399,14.566,14.735,13.132999,13.854,14.483999,14.752,14.69,14.608999,14.542,14.396,14.565,14.723,13.004999,13.7109995,14.313999,14.594999,14.5789995,14.573,14.521,14.398,14.577999,14.708,12.872999,13.604,14.103,14.429,14.5,14.556999,14.504,14.403999,14.601,14.691,12.987999,13.797,14.162,14.455,14.511,14.584999,14.511999,14.407,14.599,14.643
2019-01-16T12:00:00.0,13.968,14.066,14.756,14.667,14.688,14.556,14.657,14.674999,14.771999,14.643,13.812,14.169,14.701,14.634,14.659,14.57,14.584,14.686,14.745,14.705,13.605,14.247999,14.657,14.6119995,14.631,14.593,14.495,14.7,14.733999,14.771,13.798,14.2699995,14.802,14.629,14.684,14.544,14.496,14.617,14.886,14.649,13.785999,14.3619995,14.79,14.715,14.68,14.613,14.478,14.639,14.882999,14.632999,13.618,14.504999,14.66,14.853,14.631,14.771999,14.445999,14.74,14.761,14.698,13.546,14.443,14.809999,14.77,14.785999,14.809,14.464,14.693,14.749,14.9279995,13.486,14.367,14.922,14.712999,14.896999,14.792999,14.537,14.597,14.725,15.084,13.441,14.278,14.941999,14.722,14.912,14.688999,14.705999,14.424999,14.672,15.093,13.393999,14.07,14.841999,14.729,14.895,14.665,14.749,14.406,14.725,14.972,13.315,13.856,14.693,14.709,14.868,14.681,14.729,14.445,14.781,14.846,13.049999,13.844,14.4939995,14.546,14.853,14.785999,14.582,14.5199995,14.643999,14.952999,12.84,13.738,14.308,14.542999,14.811,14.705999,14.511999,14.551,14.598,14.917,12.677,13.5529995,14.132999,14.676,14.747,14.469,14.507999,14.546,14.628,14.759,12.452,13.44,13.983999,14.49,14.462,14.539,14.445999,14.538,14.594999,14.823
2019-01-17T12:00:00.0,13.473,13.759,14.532,14.468,14.358999,14.346,14.492,14.507999,14.558,14.37,13.384,13.789,14.541,14.445,14.337999,14.372999,14.431,14.532999,14.549999,14.406,13.2039995,13.797,14.541,14.426,14.315,14.393,14.357,14.561,14.542,14.451,13.1779995,13.815,14.490999,14.415,14.391,14.339,14.392,14.488,14.62,14.41,13.181,13.844,14.4939995,14.405,14.448,14.327999,14.3689995,14.443,14.667,14.4939995,13.205,13.882999,14.535999,14.393999,14.49,14.35,14.302,14.419,14.688999,14.673,13.253,13.85,14.479,14.497,14.452999,14.441,14.357,14.490999,14.677,14.782,13.268999,13.812,14.406,14.521999,14.437,14.547,14.396999,14.483,14.662,14.8619995,13.222,13.771,14.309999,14.3949995,14.466,14.674,14.400999,14.322,14.646999,14.893999,13.125999,13.8289995,14.264999,14.502,14.495,14.622999,14.518999,14.278999,14.653999,14.813999,13.007999,13.877,14.240999,14.646,14.517,14.528999,14.635,14.292999,14.646,14.725,12.865999,13.667999,14.247999,14.535,14.495,14.528999,14.51,14.41,14.51,14.801,12.768999,13.570999,14.195999,14.497,14.469,14.517,14.496,14.392,14.504,14.752,12.712,13.568,14.094999,14.5199995,14.44,14.495,14.577,14.259,14.608,14.597,12.385,13.476999,14.055,14.485,14.44,14.521,14.413,14.332,14.497999,14.628
2019-01-18T15:00:00.0,13.815,14.072,14.912,14.78,14.492,14.566,14.466,14.649,14.434,14.405,13.7039995,14.212,14.91,14.657999,14.434,14.5199995,14.5,14.660999,14.507999,14.417999,13.507,14.323999,14.872,14.556,14.37,14.459,14.552,14.653,14.586,14.424999,13.57,14.304,14.809999,14.542,14.332,14.339,14.525999,14.541,14.502,14.424,13.559999,14.294,14.715,14.51,14.295,14.304,14.483999,14.558,14.545,14.427,13.4939995,14.291,14.594999,14.464,14.261,14.333,14.429,14.674999,14.684,14.431999,13.327,14.148,14.565,14.410999,14.187,14.271999,14.371,14.542,14.634,14.482,13.233,14.035999,14.525999,14.379999,14.167,14.2439995,14.323999,14.466,14.61,14.569,13.278999,13.99,14.465,14.388,14.249,14.285,14.302,14.513,14.645,14.724,13.226,13.917999,14.357,14.372999,14.198999,14.306,14.219,14.424,14.660999,14.805,13.163,13.844,14.263,14.343,14.127,14.313,14.141,14.299999,14.657999,14.849,13.233999,13.809,14.334,14.26,14.174999,14.288,14.212,14.231,14.587,14.816,13.2439995,13.809999,14.306999,14.2369995,14.209999,14.275999,14.1779995,14.181999,14.476,14.702999,13.202999,13.841,14.197,14.263,14.233999,14.277,14.056999,14.149,14.330999,14.524,13.166,13.764999,14.232,14.191999,14.125999,14.157999,14.094999,14.101999,14.35,14.412
2019-01-19T15:00:00.0,13.259,13.094999,13.962,15.068,14.615,14.319,14.267,14.412,14.156,14.149,13.276999,13.351,14.18,14.955,14.478,14.266,14.327999,14.348999,14.233,14.152,13.254999,13.607,14.375,14.816999,14.3619995,14.223999,14.391,14.284,14.316,14.17,13.346,13.693,14.445,14.697,14.267,14.229,14.385,14.289,14.332,14.167,13.41,13.754,14.489,14.5789995,14.195999,14.261,14.327999,14.351999,14.302,14.221,13.4539995,13.796,14.511999,14.462,14.143999,14.315,14.23,14.459,14.235,14.316999,13.391,13.934,14.502,14.389,14.127,14.193,14.299,14.381,14.339,14.205999,13.3289995,14.014999,14.455999,14.348,14.076,14.117,14.3289995,14.330999,14.433,14.135,13.276999,13.986,14.344999,14.36,13.957,14.139,14.278999,14.344,14.497999,14.152,13.121,13.938,14.37,14.323,13.914999,14.117,14.19,14.323,14.493,14.313,12.959999,13.899,14.417,14.275,13.899,14.069,14.094999,14.287,14.466,14.504999,12.966999,13.959,14.33,14.268,13.882999,13.959999,14.045,14.228,14.448999,14.597,12.966,13.948999,14.313999,14.24,13.91,13.944,14.007999,14.1,14.424,14.61,12.958,13.881,14.357,14.194,13.973,14.004999,13.982,13.914999,14.393999,14.556999,13.017,13.746,14.327,14.048,13.906,13.990999,13.874,13.903999,14.294,14.389999
